FAKEID,prob of Renewal,prob of Defect,Predicted Defect
580D24RR,0.0,1.0,1
179Q96NO,0.0,1.0,1
050Z45TB,1.0,0.0,0
399V18KY,0.0,1.0,1
009A52KP,1.0,0.0,0
059D43VJ,0.0,1.0,1
874Y07FS,1.0,0.0,0
789T58LZ,1.0,0.0,0
958H17RR,1.0,0.0,0
309O88WT,0.0,1.0,1
107P82XH,0.0,1.0,1
053C60CM,0.0,1.0,1
677F10AC,0.0,1.0,1
577L87MZ,0.0,1.0,1
808X32SV,1.0,0.0,0
031F63CM,0.0,1.0,1
023X26FO,0.0,1.0,1
079Y74UQ,0.0,1.0,1
006H63VP,0.0,1.0,1
988V91LY,0.0,1.0,1
673K94PG,1.0,0.0,0
242B26KI,1.0,0.0,0
925S59VD,0.5,0.5,0
440I33VY,0.0,1.0,1
611S70BH,0.0,1.0,1
558Q36HP,0.0,1.0,1
060Z40DF,0.0,1.0,1
376R01KQ,0.0,1.0,1
145N21RW,1.0,0.0,0
270F96TM,1.0,0.0,0
534M20HD,1.0,0.0,0
279K84FT,1.0,0.0,0
536E64BT,1.0,0.0,0
373B23ML,0.0,1.0,1
642L57YR,1.0,0.0,0
508Y20BL,0.0,1.0,1
921W10SK,0.0,1.0,1
914V03DO,0.0,1.0,1
738Q01BB,0.0,1.0,1
273R86BW,0.0,1.0,1
157J00LN,0.0,1.0,1
292H96WD,1.0,0.0,0
690R56JG,1.0,0.0,0
332P71FB,1.0,0.0,0
126S01EX,0.0,1.0,1
553R30HL,1.0,0.0,0
522H53HY,1.0,0.0,0
989J41ZG,0.0,1.0,1
046S72ZB,1.0,0.0,0
025W44OI,0.0,1.0,1
141O09JD,1.0,0.0,0
231D76ZL,1.0,0.0,0
434I45PR,1.0,0.0,0
695W49AP,0.3333333333333333,0.6666666666666666,1
486W51NV,1.0,0.0,0
690M99YK,1.0,0.0,0
824M77WM,1.0,0.0,0
647B40ZL,0.0,1.0,1
798C54BX,0.0,1.0,1
669I61WY,0.0,1.0,1
335O44UC,1.0,0.0,0
366X70QS,0.0,1.0,1
601V61VQ,0.0,1.0,1
957U95WL,1.0,0.0,0
269G52BN,1.0,0.0,0
427H36ET,1.0,0.0,0
229A88NE,0.0,1.0,1
825O85VJ,0.0,1.0,1
885D56KF,1.0,0.0,0
965E42NE,0.0,1.0,1
073D35GW,1.0,0.0,0
508K85XY,0.0,1.0,1
107L16LK,1.0,0.0,0
588Y01JS,0.0,1.0,1
817N78XX,1.0,0.0,0
402W24JS,0.0,1.0,1
327X55JY,0.0,1.0,1
298C43WU,0.0,1.0,1
328W95CT,1.0,0.0,0
346Y16CC,1.0,0.0,0
746Y17QF,1.0,0.0,0
794R23CI,1.0,0.0,0
062Y94YU,0.5,0.5,0
528W18TV,0.0,1.0,1
973A00UD,1.0,0.0,0
962H79UH,0.0,1.0,1
522M57HR,0.0,1.0,1
317I61BT,0.0,1.0,1
386L23QP,0.0,1.0,1
999T90OF,0.0,1.0,1
623K26CG,1.0,0.0,0
141D65SG,1.0,0.0,0
157S62RA,1.0,0.0,0
981N74OE,1.0,0.0,0
928Y32KQ,1.0,0.0,0
331S02ZN,0.0,1.0,1
347T83CO,0.0,1.0,1
706T03IF,0.0,1.0,1
369U81XX,0.0,1.0,1
690T64XZ,1.0,0.0,0
839O83RD,1.0,0.0,0
659S93WV,0.0,1.0,1
889K12BI,1.0,0.0,0
797G52IW,1.0,0.0,0
503S58OT,0.0,1.0,1
845R65NY,1.0,0.0,0
705Z43LM,1.0,0.0,0
329L45TW,0.0,1.0,1
545N87CU,0.0,1.0,1
631U48OI,0.5,0.5,0
395R57JO,1.0,0.0,0
003J70OR,1.0,0.0,0
677C54PB,1.0,0.0,0
465I62KO,0.0,1.0,1
206J37PI,0.0,1.0,1
714M06QN,1.0,0.0,0
197K31XI,1.0,0.0,0
369D68FI,1.0,0.0,0
404Q33FU,0.0,1.0,1
143K92IK,0.0,1.0,1
757F30JU,0.0,1.0,1
104S61UJ,1.0,0.0,0
933V93RA,0.0,1.0,1
334F85FR,1.0,0.0,0
234Y14DI,1.0,0.0,0
028B85VG,0.0,1.0,1
241I16RL,0.0,1.0,1
425W63AF,0.0,1.0,1
163L21LR,0.0,1.0,1
330A46AY,1.0,0.0,0
680N54GI,1.0,0.0,0
557P81EY,0.0,1.0,1
480M77VF,1.0,0.0,0
251H98JN,0.0,1.0,1
148A90BN,0.0,1.0,1
172T17NB,0.0,1.0,1
171C93KV,0.0,1.0,1
294E95KU,1.0,0.0,0
079U53FB,0.0,1.0,1
959E27DV,1.0,0.0,0
147M81ZR,1.0,0.0,0
494A90UX,0.0,1.0,1
957A78ZV,1.0,0.0,0
415F28NT,0.5,0.5,0
489K95MM,0.0,1.0,1
490C81IA,1.0,0.0,0
932J35WK,0.0,1.0,1
441E92BK,0.0,1.0,1
737V25RF,1.0,0.0,0
342N86ZJ,0.0,1.0,1
345Y94ZJ,0.0,1.0,1
473X84DB,1.0,0.0,0
221P06OH,1.0,0.0,0
450Q17PL,1.0,0.0,0
596V69UH,1.0,0.0,0
551Z26JT,0.0,1.0,1
539K98BX,0.0,1.0,1
978E35SB,0.0,1.0,1
809U07DF,1.0,0.0,0
591B87CF,1.0,0.0,0
371V69BD,1.0,0.0,0
867E65TX,0.0,1.0,1
751X29SP,1.0,0.0,0
443H38GK,1.0,0.0,0
399Y87BR,1.0,0.0,0
100M65UR,0.0,1.0,1
584C86WP,1.0,0.0,0
450D88XH,0.0,1.0,1
077V52VR,1.0,0.0,0
954J39OT,0.0,1.0,1
072N87YE,0.0,1.0,1
181V71AA,1.0,0.0,0
490G98QP,0.0,1.0,1
963K46SR,1.0,0.0,0
487F51KL,1.0,0.0,0
182G33CH,1.0,0.0,0
004F10DP,0.0,1.0,1
660U80SS,0.0,1.0,1
004Z74NR,1.0,0.0,0
373S02FV,0.0,1.0,1
091D98EX,0.0,1.0,1
277E58SN,0.0,1.0,1
620O47NE,0.0,1.0,1
452H20TD,1.0,0.0,0
392R40FN,1.0,0.0,0
121I86IG,0.0,1.0,1
358B94AA,1.0,0.0,0
541G34ZS,1.0,0.0,0
670J45JU,0.0,1.0,1
028W87HN,0.0,1.0,1
525Q16SH,0.0,1.0,1
174N27GA,0.0,1.0,1
145E05OP,0.0,1.0,1
757K37TN,1.0,0.0,0
841Z54AQ,0.0,1.0,1
452P00TG,1.0,0.0,0
242Q85GY,0.0,1.0,1
432G70GN,0.0,1.0,1
968W35JQ,1.0,0.0,0
457Y64PZ,0.0,1.0,1
945C79BF,1.0,0.0,0
949J77DW,0.0,1.0,1
540J39XC,0.0,1.0,1
516W82YS,0.0,1.0,1
797K70TX,1.0,0.0,0
241T60GE,1.0,0.0,0
305U30UM,0.0,1.0,1
181T18VS,0.0,1.0,1
878U51PL,0.0,1.0,1
780O82QU,1.0,0.0,0
608H80DI,0.3333333333333333,0.6666666666666666,1
624S95AV,0.0,1.0,1
975Z97YM,1.0,0.0,0
940X37XH,1.0,0.0,0
422I06ER,1.0,0.0,0
701I63PZ,1.0,0.0,0
828N73YC,1.0,0.0,0
274Z66FB,1.0,0.0,0
649P39HO,1.0,0.0,0
